NAME,county,year,y,n,E
Wyandot,88,8,9,23259,9.548143623
Adams,1,9,10,23193,10.08507073
Allen,2,9,54,109791,47.13714052
Ashland,3,9,15,44494,19.12420456
Ashtabula,4,9,40,101116,43.55969558
Athens,5,9,25,51508,22.48538329
Auglaize,6,9,20,41319,17.82231286
Belmont,7,9,39,83259,35.57206023
Brown,8,9,14,30025,13.01410266
Butler,9,9,105,241318,103.7654907
Carroll,10,9,7,24722,10.75399215
Champaign,11,9,13,32873,14.17774254
Clark,12,9,76,151657,64.81077866
Clermont,13,9,33,111781,48.45189428
Clinton,14,9,11,33537,14.48081013
Columbiana,15,9,49,112805,48.47270898
Coshocton,16,9,13,35328,15.12837137
Crawford,17,9,25,51186,21.96039738
Cuyahoga,18,9,760,1578170,669.5958364
Darke,19,9,16,55189,23.72104368
Defiance,20,9,9,38396,16.64055147
Delaware,21,9,15,49834,21.54739545
Erie,22,9,40,78246,33.77010005
Fairfield,23,9,36,85472,37.01939549
Fayette,24,9,11,26974,11.58080426
Franklin,25,9,338,868966,372.2519724
Fulton,26,9,12,36503,15.74885755
Gallia,27,9,13,28709,12.44899719
Geauga,28,9,15,67838,29.55571753
Greene,29,9,37,127975,55.79002696
Guernsey,30,9,20,40304,17.20644844
Hamilton,31,9,492,894106,379.260074
Hancock,32,9,24,63869,27.40911611
Hardin,33,9,17,32422,14.0747357
Harrison,34,9,6,17561,7.563827027
Henry,35,9,11,28346,12.26663129
Highland,36,9,20,32808,14.13620379
Hocking,37,9,6,22904,9.900192018
Holmes,38,9,9,27875,12.04671416
Huron,39,9,15,53452,22.96538901
Jackson,40,9,22,30149,12.89397373
Jefferson,41,9,53,93747,40.20991793
Knox,42,9,20,44382,19.1446515
Lake,43,9,62,209714,90.70973961
Lawrence,44,9,15,61393,26.37470395
Licking,45,9,50,115142,49.67397047
Logan,46,9,23,38207,16.47179016
Lorain,47,9,93,265032,114.3402506
Lucas,48,9,246,477884,204.1575366
Madison,49,9,10,32077,14.30431783
Mahoning,50,9,144,297632,127.0944357
Marion,51,9,26,67342,29.28709643
Medina,52,9,25,99093,43.08735333
Meigs,53,9,12,21899,9.483816441
Mercer,54,9,11,37789,16.34586449
Miami,55,9,40,88480,38.04744384
Monroe,56,9,6,15955,6.935966137
Montgomery,57,9,266,577371,247.0006345
Morgan,58,9,8,13540,5.834552604
Morrow,59,9,9,25878,11.2982343
Muskingum,60,9,42,82021,35.00307122
Noble,61,9,5,11172,4.854639427
Ottawa,62,9,19,39068,16.8993183
Paulding,63,9,5,20602,8.935606813
Perry,64,9,15,29765,12.91140806
Pickaway,65,9,14,43964,19.20143308
Pike,66,9,11,21394,9.339073539
Portage,67,9,35,133569,58.08810474
Preble,68,9,12,36532,15.79470581
Putnam,69,9,15,33759,14.69498364
Richland,70,9,54,131303,56.97167565
Ross,71,9,17,62384,27.50356913
Sandusky,72,9,19,63485,27.40449349
Scioto,73,9,38,85006,36.4745121
Seneca,74,9,29,61934,26.57592906
Shelby,75,9,18,41542,18.04553136
Stark,76,9,179,375740,160.9065411
Summit,77,9,206,534232,228.6317091
Trumbull,78,9,94,239970,103.1280872
Tuscarawas,79,9,30,82672,35.41290313
Union,80,9,8,28294,12.11199353
Van Wert,81,9,11,29557,12.70238539
Vinton,82,9,3,10416,4.538362224
Warren,83,9,29,91149,40.10242716
Washington,84,9,23,60848,26.23817518
Wayne,85,9,22,94097,40.75819656
Williams,86,9,15,35323,15.28255199
Wood,87,9,25,100495,43.17481795
Wyandot,88,9,4,23065,9.903858389
Adams,1,10,7,23562,10.57698323
Allen,2,10,63,110487,48.94362557
Ashland,3,10,15,44708,19.81606437
Ashtabula,4,10,41,101545,45.07174546
Athens,5,10,18,53994,24.33402942
Auglaize,6,10,18,41524,18.47612914
Belmont,7,10,46,82514,36.35824144
Brown,8,10,11,30597,13.68118375
Butler,9,10,104,246005,109.0558538
Carroll,10,10,10,25171,11.27948219
Champaign,11,10,16,33181,14.74769595
Clark,12,10,71,150800,66.44985729
Clermont,13,10,44,115394,51.59507611
Clinton,14,10,14,33992,15.14151003
Columbiana,15,10,53,113792,50.41379833
Coshocton,16,10,15,35299,15.59728885
Crawford,17,10,17,50859,22.51252915
Cuyahoga,18,10,786,1558647,681.7339859
Darke,19,10,25,55031,24.37724859
Defiance,20,10,12,38898,17.38451979
Delaware,21,10,12,50816,22.6902549
Erie,22,10,34,78439,34.91080281
Fairfield,23,10,36,86447,38.57664352
Fayette,24,10,10,27131,12.02619517
Franklin,25,10,350,875089,386.7859942
Fulton,26,10,2,37131,16.52108747
Gallia,27,10,12,30130,13.47445829
Geauga,28,10,24,70373,31.62190819
Greene,29,10,46,128552,57.68707618
Guernsey,30,10,20,40228,17.69893362
Hamilton,31,10,536,890008,389.2374841
Hancock,32,10,14,64064,28.34916779
Hardin,33,10,24,32353,14.47357383
Harrison,34,10,7,17331,7.703536973
Henry,35,10,10,28420,12.6769975
Highland,36,10,17,33287,14.79360314
Hocking,37,10,10,23188,10.35131563
Holmes,38,10,5,28698,12.79211758
Huron,39,10,16,53928,23.87129873
Jackson,40,10,18,30078,13.28140466
Jefferson,41,10,56,93223,41.20804552
Knox,42,10,18,45221,20.1197281
Lake,43,10,75,209768,93.55916194
Lawrence,44,10,37,61949,27.47960305
Licking,45,10,55,116310,51.78172044
Logan,46,10,23,38386,17.0648764
Lorain,47,10,91,270737,120.4381453
Lucas,48,10,205,474495,208.9888158
Madison,49,10,20,31969,14.6911166
Mahoning,50,10,138,297033,130.7993274
Marion,51,10,37,66949,30.04307841
Medina,52,10,32,103102,46.24501047
Meigs,53,10,10,22138,9.878764082
Mercer,54,10,11,38249,17.06850812
Miami,55,10,58,88980,39.45150612
Monroe,56,10,1,16279,7.305817392
Montgomery,57,10,276,571005,251.8352921
Morgan,58,10,2,13437,5.970027235
Morrow,59,10,7,26465,11.90320874
Muskingum,60,10,50,83031,36.5589961
Noble,61,10,5,11185,5.005076105
Ottawa,62,10,20,40076,17.85083617
Paulding,63,10,5,20783,9.302666293
Perry,64,10,13,30208,13.51226023
Pickaway,65,10,16,44104,19.86316013
Pike,66,10,5,21615,9.726564491
Portage,67,10,38,133367,59.83522533
Preble,68,10,11,36839,16.43593717
Putnam,69,10,8,33526,15.05747614
Richland,70,10,48,130581,58.39455404
Ross,71,10,38,63698,29.00055654
Sandusky,72,10,26,63787,28.39850938
Scioto,73,10,32,84500,37.43857197
Seneca,74,10,31,62251,27.57934644
Shelby,75,10,11,42084,18.85564363
Stark,76,10,137,376118,166.0513032
Summit,77,10,248,528581,233.174924
Trumbull,78,10,76,241863,107.1351869
Tuscarawas,79,10,46,82977,36.66527909
Union,80,10,8,31013,13.67696795
Van Wert,81,10,16,30308,13.45245683
Vinton,82,10,3,10792,4.840045726
Warren,83,10,29,93554,42.44591095
Washington,84,10,26,61521,27.3727033
Wayne,85,10,24,94157,42.06959691
Williams,86,10,10,35555,15.87935534
Wood,87,10,30,101988,45.16225627
Wyandot,88,10,10,22869,10.13206524
Adams,1,11,13,23917,10.80368932
Allen,2,11,42,109901,49.00461764
Ashland,3,11,13,45323,20.221826
Ashtabula,4,11,49,102462,45.80112967
Athens,5,11,30,55134,25.07943209
Auglaize,6,11,11,42054,18.84399243
Belmont,7,11,35,82174,36.50192144
Brown,8,11,16,31292,14.09517308
Butler,9,11,123,251343,112.1833804
Carroll,10,11,9,25719,11.60443963
Champaign,11,11,13,33406,14.94806074
Clark,12,11,64,150634,66.84354488
Clermont,13,11,58,120652,54.29624393
Clinton,14,11,17,34397,15.42344363
Columbiana,15,11,48,114611,51.15764598
Coshocton,16,11,15,35469,15.79140546
Crawford,17,11,30,51407,22.92337095
Cuyahoga,18,11,781,1538724,678.320406
Darke,19,11,25,54691,24.40834298
Defiance,20,11,10,39179,17.62930972
Delaware,21,11,20,51953,23.386354
Erie,22,11,39,78711,35.26478487
Fairfield,23,11,40,88739,39.83630934
Fayette,24,11,13,27034,12.05389509
Franklin,25,11,357,877061,390.511235
Fulton,26,11,13,37493,16.79995353
Gallia,27,11,17,29712,13.36750378
Geauga,28,11,15,73210,33.09280457
Greene,29,11,47,129345,58.42586294
Guernsey,30,11,20,40484,17.94332507
Hamilton,31,11,483,886806,390.8941242
Hancock,32,11,17,64856,28.91550864
Hardin,33,11,13,32591,14.66478073
Harrison,34,11,8,17338,7.755625045
Henry,35,11,8,28986,13.03106014
Highland,36,11,19,33419,14.96584189
Hocking,37,11,9,23266,10.4526649
Holmes,38,11,5,29462,13.2121314
Huron,39,11,29,54336,24.24724187
Jackson,40,11,19,30056,13.37459673
Jefferson,41,11,60,92460,41.16494624
Knox,42,11,14,46228,20.70653687
Lake,43,11,81,210956,94.68973261
Lawrence,44,11,33,62430,27.87990288
Licking,45,11,47,118681,53.18771258
Logan,46,11,17,38807,17.36541031
Lorain,47,11,88,275435,123.3431401
Lucas,48,11,235,469325,208.2766221
Madison,49,11,14,32216,14.85344667
Mahoning,50,11,158,292495,129.7502808
Marion,51,11,41,66794,30.17401762
Medina,52,11,32,107733,48.6537786
Meigs,53,11,9,22327,10.05534543
Mercer,54,11,14,38319,17.2345308
Miami,55,11,28,89888,40.13745565
Monroe,56,11,6,16550,7.480610262
Montgomery,57,11,279,569496,252.9888553
Morgan,58,11,7,13645,6.10550109
Morrow,59,11,8,26674,12.06148703
Muskingum,60,11,59,83000,36.83281479
Noble,61,11,5,11183,5.029909048
Ottawa,62,11,14,40502,18.19907826
Paulding,63,11,12,21008,9.480443061
Perry,64,11,14,30858,13.89345427
Pickaway,65,11,9,44333,20.07320325
Pike,66,11,8,22132,10.00373944
Portage,67,11,33,134325,60.65448579
Preble,68,11,13,37183,16.7032991
Putnam,69,11,8,33213,15.00471002
Richland,70,11,52,130900,58.91789928
Ross,71,11,33,64553,29.5371727
Sandusky,72,11,31,64040,28.72492827
Scioto,73,11,34,83868,37.44637981
Seneca,74,11,29,62626,27.96169261
Shelby,75,11,13,42773,19.29360749
Stark,76,11,157,378316,168.2870255
Summit,77,11,246,523969,232.7907285
Trumbull,78,11,91,244996,109.26887
Tuscarawas,79,11,30,83338,37.0718198
Union,80,11,10,29404,13.06414268
Van Wert,81,11,9,30489,13.63418302
Vinton,82,11,3,10995,4.960788263
Warren,83,11,33,96229,43.9001919
Washington,84,11,26,62727,28.09877412
Wayne,85,11,24,95511,42.97686638
Williams,86,11,8,35918,16.16287735
Wood,87,11,22,104134,46.41706615
Wyandot,88,11,16,22785,10.1603327
Adams,1,12,5,23948,11.23134849
Allen,2,12,76,111387,51.65808154
Ashland,3,12,11,45781,21.21680754
Ashtabula,4,12,38,103767,48.17019243
Athens,5,12,30,55189,26.09515211
Auglaize,6,12,18,42474,19.79564313
Belmont,7,12,40,83336,38.4568574
Brown,8,12,7,31552,14.75334174
Butler,9,12,91,256571,119.000964
Carroll,10,12,12,25553,11.97047967
Champaign,11,12,12,33875,15.73372127
Clark,12,12,60,150905,69.61649819
Clermont,13,12,51,124709,58.31157241
Clinton,14,12,11,34598,16.09351857
Columbiana,15,12,55,113822,52.82228212
Coshocton,16,12,13,35783,16.56857802
Crawford,17,12,23,50749,23.5129253
Cuyahoga,18,12,825,1517979,695.602678
Darke,19,12,22,55547,25.76696938
Defiance,20,12,15,39934,18.67859846
Delaware,21,12,25,53600,25.09399066
Erie,22,12,33,78315,36.46770416
Fairfield,23,12,41,91423,42.63906877
Fayette,24,12,15,27453,12.73536346
Franklin,25,12,402,878354,406.4146634
Fulton,26,12,12,37721,17.58519971
Gallia,27,12,20,29464,13.77321111
Geauga,28,12,20,73538,34.53531777
Greene,29,12,49,129791,60.9228737
Guernsey,30,12,17,41064,18.93132617
Hamilton,31,12,528,881168,403.9317637
Hancock,32,12,24,64667,29.97386478
Hardin,33,12,11,32320,15.09714306
Harrison,34,12,7,17769,8.262589698
Henry,35,12,6,28560,13.33402852
Highland,36,12,24,33456,15.56241454
Hocking,37,12,9,23962,11.19505373
Holmes,38,12,4,29529,13.76603108
Huron,39,12,26,54590,25.3029806
Jackson,40,12,21,30378,14.05215734
Jefferson,41,12,57,91052,42.14267816
Knox,42,12,25,46692,21.73191041
Lake,43,12,87,212405,99.02613606
Lawrence,44,12,35,63166,29.3183435
Licking,45,12,57,119933,55.87188336
Logan,46,12,11,38867,18.06573314
Lorain,47,12,121,273049,127.0715939
Lucas,48,12,280,472282,217.8798927
Madison,49,12,10,32470,15.53420632
Mahoning,50,12,137,289471,133.4329314
Marion,51,12,25,67209,31.49856683
Medina,52,12,27,111242,52.20922054
Meigs,53,12,19,22959,10.74129007
Mercer,54,12,16,38326,17.90014986
Miami,55,12,44,90353,41.91426574
Monroe,56,12,7,17119,8.050974273
Montgomery,57,12,259,572382,264.1298325
Morgan,58,12,7,13907,6.487398563
Morrow,59,12,9,26957,12.64864468
Muskingum,60,12,49,83311,38.45980448
Noble,61,12,6,11162,5.22123938
Ottawa,62,12,10,40552,18.91018502
Paulding,63,12,13,21259,9.960300785
Perry,64,12,10,30910,14.42427268
Pickaway,65,12,27,44077,20.74622276
Pike,66,12,8,22397,10.51471793
Portage,67,12,38,134256,62.96762979
Preble,68,12,13,37848,17.67544328
Putnam,69,12,11,34357,16.15320807
Richland,70,12,45,130231,60.89709462
Ross,71,12,27,64850,30.80432912
Sandusky,72,12,23,63737,29.72501104
Scioto,73,12,41,84442,39.22096377
Seneca,74,12,19,62674,29.113552
Shelby,75,12,9,43056,20.17842044
Stark,76,12,182,377507,174.4643786
Summit,77,12,247,526662,243.1927151
Trumbull,78,12,91,241424,111.8401737
Tuscarawas,79,12,28,84041,38.85848782
Union,80,12,4,29408,13.57359582
Van Wert,81,12,9,30443,14.14210689
Vinton,82,12,6,11338,5.306927809
Warren,83,12,43,98221,46.54228133
Washington,84,12,20,63759,29.68609138
Wayne,85,12,36,97328,45.51960966
Williams,86,12,10,36083,16.88670547
Wood,87,12,28,106035,49.09810215
Wyandot,88,12,7,22804,10.55482745
Adams,1,13,14,24305,12.60231963
Allen,2,13,46,111850,57.30083762
Ashland,3,13,22,46121,23.66994035
Ashtabula,4,13,58,103685,53.2106552
Athens,5,13,25,56429,29.42827188
Auglaize,6,13,17,42491,21.89105478
Belmont,7,13,54,82246,41.96684726
Brown,8,13,21,31977,16.52139105
Butler,9,13,135,258877,132.7049556
Carroll,10,13,7,25491,13.18896876
Champaign,11,13,17,33544,17.22562003
Clark,12,13,99,149783,76.41398135
Clermont,13,13,62,128713,66.51532141
Clinton,14,13,11,34535,17.75838123
Columbiana,15,13,51,113124,58.04232983
Coshocton,16,13,22,35958,18.40558656
Crawford,17,13,28,49919,25.53337306
Cuyahoga,18,13,917,1491686,755.5778379
Darke,19,13,18,54782,28.07911935
Defiance,20,13,12,39768,20.53615112
Delaware,21,13,17,53872,27.88506527
Erie,22,13,41,79327,40.84325223
Fairfield,23,13,33,93630,48.20210544
Fayette,24,13,14,27322,14.00859514
Franklin,25,13,402,868797,444.0170618
Fulton,26,13,9,37676,19.40431778
Gallia,27,13,15,30051,15.52575655
Geauga,28,13,22,74242,38.53666254
Greene,29,13,44,129421,67.05197951
Guernsey,30,13,22,41935,21.37838438
Hamilton,31,13,583,871090,441.4863739
Hancock,32,13,29,64375,32.95375526
Hardin,33,13,18,32593,16.80588277
Harrison,34,13,8,17987,9.238981011
Henry,35,13,7,28277,14.58592592
Highland,36,13,25,33506,17.24515257
Hocking,37,13,14,24234,12.52637622
Holmes,38,13,3,29388,15.13305714
Huron,39,13,25,54519,27.92994179
Jackson,40,13,22,30481,15.58021969
Jefferson,41,13,55,91051,46.51786101
Knox,42,13,15,46228,23.75502589
Lake,43,13,101,212138,109.2441937
Lawrence,44,13,39,63644,32.62858871
Licking,45,13,69,121054,62.32222129
Logan,46,13,19,39069,20.06821026
Lorain,47,13,115,273724,140.7854283
Lucas,48,13,243,470235,239.7827219
Madison,49,13,10,33024,17.46434656
Mahoning,50,13,142,288040,146.7720311
Marion,51,13,27,67657,35.03396409
Medina,52,13,38,112964,58.56181763
Meigs,53,13,12,23529,12.15371922
Mercer,54,13,12,38226,19.74854349
Miami,55,13,48,90168,46.20994165
Monroe,56,13,4,17287,8.97768801
Montgomery,57,13,314,570223,290.8709613
Morgan,58,13,8,14190,7.319507911
Morrow,59,13,16,26419,13.70658035
Muskingum,60,13,54,83215,42.45614889
Noble,61,13,3,11273,5.833724661
Ottawa,62,13,15,39955,20.60862733
Paulding,63,13,11,21191,10.97351039
Perry,64,13,21,31000,16.00570914
Pickaway,65,13,23,43432,22.57198501
Pike,66,13,14,22908,11.87902465
Portage,67,13,37,135770,70.34872267
Preble,68,13,24,38066,19.65760934
Putnam,69,13,13,32962,17.11819841
Richland,70,13,62,130722,67.59312058
Ross,71,13,23,64945,34.07542779
Sandusky,72,13,27,63026,32.49621347
Scioto,73,13,54,84244,43.27170827
Seneca,74,13,30,61590,31.6172615
Shelby,75,13,19,43034,22.28537514
Stark,76,13,197,377634,192.9373981
Summit,77,13,277,522227,266.4809436
Trumbull,78,13,114,241115,123.4170965
Tuscarawas,79,13,36,84476,43.15307946
Union,80,13,17,29528,15.06589476
Van Wert,81,13,13,30321,15.58248193
Vinton,82,13,5,11502,5.942770459
Warren,83,13,33,99196,51.92093256
Washington,84,13,26,64064,32.94802761
Wayne,85,13,27,97179,50.21061694
Williams,86,13,17,36296,18.77851076
Wood,87,13,32,107345,54.91073714
Wyandot,88,13,7,22618,11.55841292
Adams,1,14,12,24661,12.73229764
Allen,2,14,53,111763,57.14628095
Ashland,3,14,18,46445,23.74133758
Ashtabula,4,14,56,103457,52.96727405
Athens,5,14,33,57108,29.75138664
Auglaize,6,14,20,42760,21.9675771
Belmont,7,14,64,82242,41.86182323
Brown,8,14,12,32666,16.87610567
Butler,9,14,129,262312,134.1206439
Carroll,10,14,12,25647,13.23303354
Champaign,11,14,14,33476,17.14430442
Clark,12,14,80,149646,76.22518058
Clermont,13,14,71,131621,67.89679786
Clinton,14,14,16,34610,17.70433204
Columbiana,15,14,63,113142,57.8840776
Coshocton,16,14,13,36247,18.52316834
Crawford,17,14,21,49919,25.50569446
Cuyahoga,18,14,913,1481287,748.9270442
Darke,19,14,18,54469,27.87965252
Defiance,20,14,13,39635,20.43017305
Delaware,21,14,10,54737,28.26350959
Erie,22,14,32,79260,40.74766294
Fairfield,23,14,38,95011,48.80488577
Fayette,24,14,22,27239,13.94415302
Franklin,25,14,431,877791,447.9465497
Fulton,26,14,15,37857,19.44607374
Gallia,27,14,17,30164,15.54554117
Geauga,28,14,29,74526,38.60892244
Greene,29,14,44,129915,67.08191266
Guernsey,30,14,24,41993,21.35228433
Hamilton,31,14,542,871895,441.1385525
Hancock,32,14,22,64665,33.03608885
Hardin,33,14,15,32575,16.74128972
Harrison,34,14,12,17721,9.075387324
Henry,35,14,13,28150,14.48122747
Highland,36,14,13,34009,17.44754886
Hocking,37,14,14,24292,12.5231687
Holmes,38,14,8,29902,15.35307535
Huron,39,14,28,54706,27.94613725
Jackson,40,14,12,30290,15.46139676
Jefferson,41,14,68,90572,46.13609033
Knox,42,14,22,46575,23.88978207
Lake,43,14,83,213482,109.6141708
Lawrence,44,14,26,63682,32.58746647
Licking,45,14,72,122894,63.11026983
Logan,46,14,31,39268,20.10418037
Lorain,47,14,110,273797,140.4385794
Lucas,48,14,282,469879,239.1336851
Madison,49,14,13,33544,17.69190091
Mahoning,50,14,159,286390,145.6586764
Marion,51,14,36,67577,34.91589188
Medina,52,14,40,114372,59.16334348
Meigs,53,14,14,23561,12.17492715
Mercer,54,14,15,38352,19.76837563
Miami,55,14,37,90442,46.29060388
Monroe,56,14,7,17127,8.880887223
Montgomery,57,14,306,569946,290.0311142
Morgan,58,14,8,14220,7.30868788
Morrow,59,14,16,26787,13.87712174
Muskingum,60,14,59,83731,42.65742513
Noble,61,14,2,11253,5.804790195
Ottawa,62,14,21,40112,20.64155208
Paulding,63,14,15,21137,10.90613629
Perry,64,14,15,31387,16.1576996
Pickaway,65,14,15,43347,22.44829565
Pike,66,14,10,23697,12.25801572
Portage,67,14,49,137532,71.13936552
Preble,68,14,13,38079,19.67274897
Putnam,69,14,14,33320,17.26267429
Richland,70,14,66,130776,67.45296425
Ross,71,14,33,65570,34.36004326
Sandusky,72,14,23,62764,32.32339151
Scioto,73,14,38,84068,43.15316479
Seneca,74,14,17,61206,31.31136544
Shelby,75,14,21,43481,22.47024096
Stark,76,14,183,378207,192.7546878
Summit,77,14,253,520096,264.6466935
Trumbull,78,14,112,241243,123.1605487
Tuscarawas,79,14,40,85085,43.38036707
Union,80,14,9,29843,15.16609162
Van Wert,81,14,12,30211,15.50739418
Vinton,82,14,7,11380,5.87715902
Warren,83,14,37,100297,52.29985819
Washington,84,14,34,64320,33.02195938
Wayne,85,14,28,97997,50.49622975
Williams,86,14,23,36380,18.7608211
Wood,87,14,30,108890,55.59388662
Wyandot,88,14,11,22581,11.52542733
Adams,1,15,15,24644,13.21962422
Allen,2,15,47,109920,58.40848701
Ashland,3,15,20,46361,24.61801034
Ashtabula,4,15,53,102783,54.72902448
Athens,5,15,24,57205,31.04823449
Auglaize,6,15,23,42881,22.90529884
Belmont,7,15,47,81885,43.26744668
Brown,8,15,22,32994,17.76100531
Butler,9,15,138,262237,139.3514162
Carroll,10,15,14,25791,13.83427918
Champaign,11,15,20,33599,17.89916132
Clark,12,15,88,148059,78.45161204
Clermont,13,15,59,133244,71.46856471
Clinton,14,15,15,34500,18.27896617
Columbiana,15,15,64,113158,60.19719385
Coshocton,16,15,13,36175,19.2198663
Crawford,17,15,37,49385,26.25116675
Cuyahoga,18,15,909,1470321,772.0909539
Darke,19,15,23,53558,28.51511132
Defiance,20,15,12,39059,20.95001054
Delaware,21,15,24,55411,29.79291243
Erie,22,15,36,78345,41.88864872
Fairfield,23,15,48,95235,50.89841894
Fayette,24,15,15,27309,14.5286026
Franklin,25,15,451,881702,467.7677668
Fulton,26,15,8,37725,20.13908745
Gallia,27,15,12,29749,15.94314115
Geauga,28,15,36,74538,40.15565482
Greene,29,15,36,130247,69.87823873
Guernsey,30,15,31,41683,22.0159433
Hamilton,31,15,554,869976,457.2906219
Hancock,32,15,24,64954,34.48266498
Hardin,33,15,18,32234,17.21291157
Harrison,34,15,20,17548,9.332649508
Henry,35,15,12,28030,14.98002604
Highland,36,15,17,33801,18.04531715
Hocking,37,15,15,24096,12.92708662
Holmes,38,15,9,30094,16.06465922
Huron,39,15,23,54393,28.84247994
Jackson,40,15,19,30130,16.01137753
Jefferson,41,15,65,89957,47.55100801
Knox,42,15,27,47058,25.09676504
Lake,43,15,94,214460,114.4219608
Lawrence,44,15,45,62837,33.45698796
Licking,45,15,57,123706,66.05904712
Logan,46,15,24,39047,20.75111588
Lorain,47,15,136,273084,145.5043288
Lucas,48,15,277,467708,247.3290818
Madison,49,15,14,34021,18.67342914
Mahoning,50,15,163,283431,149.7783832
Marion,51,15,41,67242,36.13994775
Medina,52,15,36,114717,61.72272757
Meigs,53,15,12,23676,12.73505241
Mercer,54,15,14,38556,20.65497511
Miami,55,15,49,89984,47.89667781
Monroe,56,15,6,17000,9.167411168
Montgomery,57,15,325,566395,299.4349544
Morgan,58,15,4,14278,7.630048951
Morrow,59,15,6,26706,14.39678517
Muskingum,60,15,44,84417,44.72537384
Noble,61,15,5,11274,6.051237953
Ottawa,62,15,18,39774,21.2424269
Paulding,63,15,8,20879,11.1756715
Perry,64,15,25,31363,16.79257764
Pickaway,65,15,23,42900,23.07513421
Pike,66,15,10,24369,13.10760625
Portage,67,15,66,137343,73.97231793
Preble,68,15,21,37806,20.38192912
Putnam,69,15,9,33181,17.88299927
Richland,70,15,63,129579,69.49100798
Ross,71,15,28,65676,35.82770327
Sandusky,72,15,26,62244,33.37515453
Scioto,73,15,56,84267,45.0101789
Seneca,74,15,28,61064,32.47613267
Shelby,75,15,19,43502,23.3967309
Stark,76,15,188,377652,199.9113874
Summit,77,15,282,517163,273.265962
Trumbull,78,15,111,239941,127.2260378
Tuscarawas,79,15,54,85280,45.1456172
Union,80,15,9,30303,15.97722435
Van Wert,81,15,17,29949,15.98371482
Vinton,82,15,7,11331,6.098950465
Warren,83,15,40,100896,54.68745968
Washington,84,15,30,64462,34.42820013
Wayne,85,15,30,98720,52.91657314
Williams,86,15,10,36036,19.28279192
Wood,87,15,30,109045,57.85641696
Wyandot,88,15,5,22490,11.92712462
Adams,1,16,9,24385,13.79488615
Allen,2,16,62,108996,61.15567261
Ashland,3,16,27,45994,25.75983831
Ashtabula,4,16,59,101750,57.18940759
Athens,5,16,21,57075,32.66301865
Auglaize,6,16,16,42689,24.04582904
Belmont,7,16,45,81984,45.70844529
Brown,8,16,27,32979,18.77119927
Butler,9,16,150,260641,146.1093643
Carroll,10,16,16,26085,14.74517935
Champaign,11,16,19,33324,18.73759231
Clark,12,16,73,147078,82.30207406
Clermont,13,16,51,133919,75.76597645
Clinton,14,16,19,34359,19.17886658
Columbiana,15,16,62,112319,62.99495854
Coshocton,16,16,18,36036,20.22148626
Crawford,17,16,21,48614,27.25885095
Cuyahoga,18,16,940,1468625,814.3519671
Darke,19,16,23,53482,30.0413554
Defiance,20,16,10,38575,21.83629146
Delaware,21,16,27,55729,31.58802576
Erie,22,16,40,77417,43.69345277
Fairfield,23,16,53,94742,53.44465562
Fayette,24,16,15,27539,15.4664978
Franklin,25,16,478,884464,495.2179968
Fulton,26,16,16,37713,21.24319255
Gallia,27,16,15,29783,16.84823267
Geauga,28,16,25,74379,42.24881948
Greene,29,16,57,129412,73.19520751
Guernsey,30,16,32,41424,23.0815814
Hamilton,31,16,568,865196,480.2825803
Hancock,32,16,41,64890,36.3693357
Hardin,33,16,25,31687,17.8367179
Harrison,34,16,22,17392,9.746026375
Henry,35,16,2,28166,15.8704122
Highland,36,16,24,33687,18.9850699
Hocking,37,16,15,24433,13.83796922
Holmes,38,16,5,30268,17.03117049
Huron,39,16,18,54354,30.40044179
Jackson,40,16,14,30319,17.02049659
Jefferson,41,16,54,88025,49.0402129
Knox,42,16,28,47031,26.47193282
Lake,43,16,114,213837,120.3242025
Lawrence,44,16,36,62890,35.34684763
Licking,45,16,68,123486,69.53309781
Logan,46,16,24,39195,21.96367156
Lorain,47,16,125,270924,152.294072
Lucas,48,16,292,465203,259.5768481
Madison,49,16,24,34529,19.98224362
Mahoning,50,16,148,282781,157.7688664
Marion,51,16,37,66734,37.83386056
Medina,52,16,34,114761,65.14194493
Meigs,53,16,9,23545,13.38188652
Mercer,54,16,14,38447,21.71630015
Miami,55,16,63,89072,50.04634041
Monroe,56,16,7,16784,9.550994801
Montgomery,57,16,345,562384,313.7361961
Morgan,58,16,7,14169,7.991925002
Morrow,59,16,13,26522,15.09561722
Muskingum,60,16,59,83777,46.87684141
Noble,61,16,5,11181,6.335137478
Ottawa,62,16,26,39655,22.35064127
Paulding,63,16,9,20806,11.74299929
Perry,64,16,20,31022,17.52249549
Pickaway,65,16,21,42300,23.97415151
Pike,66,16,20,24637,14.00297121
Portage,67,16,55,136635,77.62453886
Preble,68,16,27,37994,21.64984647
Putnam,69,16,13,33054,18.76907756
Richland,70,16,59,128264,72.53034473
Ross,71,16,34,66069,38.03376549
Sandusky,72,16,24,61803,35.00462031
Scioto,73,16,44,84723,47.76421136
Seneca,74,16,36,61109,34.27050097
Shelby,75,16,30,43020,24.3778233
Stark,76,16,206,375377,209.6799885
Summit,77,16,310,513708,286.3810569
Trumbull,78,16,133,237249,132.7056741
Tuscarawas,79,16,57,85237,47.60950279
Union,80,16,14,30167,16.78002034
Van Wert,81,16,13,29699,16.74883036
Vinton,82,16,13,11383,6.483969282
Warren,83,16,42,100762,57.50738762
Washington,84,16,32,64710,36.47014672
Wayne,85,16,30,98746,55.80920289
Williams,86,16,13,35859,20.23794873
